ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_SUB_TYPE,NAME_STATUS_CODE,NAME_STATUS,REGISTRATION_DATE,ORGANISATION_STATUS,ORGANISATION_STATUS_DATE,ADDRESS_SEQ_NO
CYPRUS MINES CORPORATION,1,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/06/1923,Διαγραμμένη,16/08/1974,
OTTOMAN BANK,6,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/07/1923,Διαγραμμένη,21/08/1985,
ROYAL INSURANCE PUBLIC LIMITED COMPANY,9,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/12/1923,Διαγραμμένη,01/01/1986,
THE SUN INSURANCE OFFICE LIMITED,11,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,02/07/1924,Εγγεγραμμένη,,281510
ALLIANCE ASSURANCE COMPANY LIMITED,14,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,22/01/1925,Διαγραμμένη,23/03/1970,
CALEDONIAN INSURANCE COMPANY,15,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,13/02/1925,Διαγραμμένη,01/07/1973,
NORTHERN ASSURANCE COMPANY LIMITED,16,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,05/04/1925,Διαγραμμένη,01/04/1969,
LIVERPOOL & LONDON & GLOBE INSURANCE COMPANY LIMITED,17,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,24/02/1925,Διαγραμμένη,31/12/1967,
THE GENERAL INSURANCE CO.LTD.OF TRIESTE - VENICE LIMITED,18,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,08/04/1925,Διαγραμμένη,01/01/1977,
THE CENTRAL INSURANCE COMPANY LIMITED,19,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,25/08/1925,Διαγραμμένη,01/01/1967,
EAGLE STAR INSURANCE COMPANY LIMITED,22,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/09/1925,Διαγραμμένη,30/12/1974,
ATLAS ASSURANCE COMPANY LIMITED,24,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,15/05/1926,Διαγραμμένη,01/07/1973,
IONIAN BANK LIMITED,25,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/12/1926,Διαγραμμένη,01/01/1900,
NORWICH UNION INSURANCE LIMITED,26,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,19/09/1927,Διαγραμμένη,12/07/2016,280057
THE EMPLOYER'S LIABILITY ASSURANCE CORP. LIMITED,28,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,28/05/1928,Διαγραμμένη,01/05/1969,
