MONTH,DISTRICT,Mortgages,Total_Amount
01/2023,ΛΕΥΚΩΣΙΑ,287,43302372
02/2023,ΛΕΥΚΩΣΙΑ,305,80256037
03/2023,ΛΕΥΚΩΣΙΑ,424,83317430
04/2023,ΛΕΥΚΩΣΙΑ,267,76269214
05/2023,ΛΕΥΚΩΣΙΑ,440,80308523
06/2023,ΛΕΥΚΩΣΙΑ,401,86819698
07/2023,ΛΕΥΚΩΣΙΑ,,
08/2023,ΛΕΥΚΩΣΙΑ,,
09/2023,ΛΕΥΚΩΣΙΑ,,
10/2023,ΛΕΥΚΩΣΙΑ,,
11/2023,ΛΕΥΚΩΣΙΑ,,
12/2023,ΛΕΥΚΩΣΙΑ,,
01/2023,ΑΜΜΟΧΩΣΤΟΣ,36,3793396
02/2023,ΑΜΜΟΧΩΣΤΟΣ,44,13102286
03/2023,ΑΜΜΟΧΩΣΤΟΣ,65,36200160
04/2023,ΑΜΜΟΧΩΣΤΟΣ,56,47460837
05/2023,ΑΜΜΟΧΩΣΤΟΣ,63,20028229
06/2023,ΑΜΜΟΧΩΣΤΟΣ,51,50464750
07/2023,ΑΜΜΟΧΩΣΤΟΣ,,
08/2023,ΑΜΜΟΧΩΣΤΟΣ,,
09/2023,ΑΜΜΟΧΩΣΤΟΣ,,
10/2023,ΑΜΜΟΧΩΣΤΟΣ,,
11/2023,ΑΜΜΟΧΩΣΤΟΣ,,
12/2023,ΑΜΜΟΧΩΣΤΟΣ,,
01/2023,ΛΑΡΝΑΚΑ,126,25623261
02/2023,ΛΑΡΝΑΚΑ,126,23769881
03/2023,ΛΑΡΝΑΚΑ,175,84622316
04/2023,ΛΑΡΝΑΚΑ,130,21277896
05/2023,ΛΑΡΝΑΚΑ,158,58311370
06/2023,ΛΑΡΝΑΚΑ,155,23324337
07/2023,ΛΑΡΝΑΚΑ,,
08/2023,ΛΑΡΝΑΚΑ,,
09/2023,ΛΑΡΝΑΚΑ,,
10/2023,ΛΑΡΝΑΚΑ,,
11/2023,ΛΑΡΝΑΚΑ,,
12/2023,ΛΑΡΝΑΚΑ,,
01/2023,ΛΕΜΕΣΟΣ,248,56072295
02/2023,ΛΕΜΕΣΟΣ,245,74356679
03/2023,ΛΕΜΕΣΟΣ,248,49234809
04/2023,ΛΕΜΕΣΟΣ,216,71061590
05/2023,ΛΕΜΕΣΟΣ,295,99374173
06/2023,ΛΕΜΕΣΟΣ,277,141285429
07/2023,ΛΕΜΕΣΟΣ,,
08/2023,ΛΕΜΕΣΟΣ,,
09/2023,ΛΕΜΕΣΟΣ,,
10/2023,ΛΕΜΕΣΟΣ,,
11/2023,ΛΕΜΕΣΟΣ,,
12/2023,ΛΕΜΕΣΟΣ,,
01/2023,ΠΑΦΟΣ,112,18246712
02/2023,ΠΑΦΟΣ,130,79384471
03/2023,ΠΑΦΟΣ,101,23010933
04/2023,ΠΑΦΟΣ,86,17112501
05/2023,ΠΑΦΟΣ,136,78113991
06/2023,ΠΑΦΟΣ,120,32211186
07/2023,ΠΑΦΟΣ,,
08/2023,ΠΑΦΟΣ,,
09/2023,ΠΑΦΟΣ,,
10/2023,ΠΑΦΟΣ,,
11/2023,ΠΑΦΟΣ,,
12/2023,ΠΑΦΟΣ,,
