MONTH,NICOSIA,FAMAGUSTA,LARNACA,LIMASSOL,PAFOS
1/2016,54,22,78,92,81
2/2016,79,35,108,179,100
3/2016,82,33,121,197,106
4/2016,79,35,127,166,107
5/2016,82,24,103,145,120
6/2016,98,34,120,222,183
7/2016,102,27,123,220,153
8/2016,64,41,81,129,136
9/2016,81,32,121,195,127
10/2016,80,47,111,270,126
11/2016,86,19,114,249,183
12/2016,144,87,153,432,318
01/2017,72,21,102,132,96
02/2017,73,19,100,177,87
03/2017,79,40,113,232,162
04/2017,80,29,69,192,136
05/2017,118,38,119,298,183
06/2017,162,46,96,304,235
07/2017,124,59,103,269,184
08/2017,76,47,88,201,160
09/2017,87,57,107,203,148
10/2017,117,51,111,306,183
11/2017,170,52,151,321,212
12/2017,306,169,181,532,349
01/2018,146,48,112,225,164
02/2018,96,52,99,256,163
03/2018,126,40,116,314,172
04/2018,117,52,83,246,157
05/2018,153,79,113,282,201
06/2018,146,61,133,338,180
07/2018,176,61,112,314,233
08/2018,91,50,94,262,156
09/2018,118,45,121,251,152
10/2018,145,57,116,289,204
11/2018,161,47,143,344,230
12/2018,131,46,103,290,230
01/2019,161,53,114,251,187
02/2019,194,48,125,256,211
03/2019,131,45,118,287,185
04/2019,169,96,140,428,224
05/2019,213,87,173,546,404
06/2019,145,43,102,219,205
07/2019,174,49,157,286,230
08/2019,103,30,93,196,166
09/2019,137,40,102,240,173
10/2019,183,50,160,228,192
11/2019,208,48,122,296,233
12/2019,180,64,162,284,220
01/2020,197,50,147,180,168
02/2020,178,47,118,225,171
03/2020,139,41,106,143,81
04/2020,38,10,24,72,72
05/2020,100,28,59,112,120
06/2020,178,56,109,202,101
07/2020,251,60,131,254,129
08/2020,157,39,87,193,85
09/2020,195,59,117,253,162
10/2020,227,80,153,402,202
11/2020,217,51,113,227,115
12/2020,177,63,132,217,148
01/2021,153,32,93,159,76
02/2021,212,40,107,171,116
03/2021,281,58,115,229,143
04/2021,229,46,135,292,130
05/2021,235,38,116,235,136
06/2021,226,86,145,310,157
07/2021,246,63,132,277,146
08/2021,179,52,130,228,135
09/2021,207,66,160,320,161
10/2021,247,46,144,304,170
11/2021,302,85,198,361,203
12/2021,307,80,199,453,245
01/2022,188,27,150,276,214
02/2022,233,51,172,377,219
03/2022,252,74,190,366,220
04/2022,222,46,157,329,184
05/2022,219,44,227,410,243
06/2022,264,67,226,391,225
07/2022,260,60,223,410,265
08/2022,190,43,163,358,218
09/2022,215,78,226,398,240
10/2022,221,51,242,388,269
11/2022,242,73,196,465,317
12/2022,267,79,230,497,262
01/2023,174,57,225,346,289
02/2023,190,74,203,398,266
03/2023,210,65,256,507,314
04/2023,216,46,214,426,290
05/2023,314,61,295,555,301
06/2023,312,67,258,444,316
07/2023,,,,,
08/2023,,,,,
09/2023,,,,,
10/2023,,,,,
11/2023,,,,,
12/2023,,,,,
