MONTH,LARNACA_AIRPORT,PAPHOS_AIRPORT,TOTAL_ARRIVALS
Ιαν-01,82169,28759,110928
Φεβ-01,90971,35219,126190
Μαρ-01,131215,47559,178774
Απρ-01,224962,62696,287658
Μαϊ-01,272310,89284,361594
Ιουν-01,287615,82773,370388
Ιουλ-01,348253,92877,441130
Αυγ-01,351217,94285,445502
Σεπ-01,292052,86766,378818
Οκτ-01,230180,76825,307005
Νοε-01,97183,41764,138947
Δεκ-01,97869,27576,125445
Ιαν-02,74795,27035,101830
Φεβ-02,84968,34047,119015
Μαρ-02,142250,53545,195795
Απρ-02,177409,55224,232633
Μαϊ-02,246053,79226,325279
Ιουν-02,257836,80146,337982
Ιουλ-02,307372,93229,400601
Αυγ-02,320556,82615,403171
Σεπ-02,282954,84180,367134
Οκτ-02,243620,83140,326760
Νοε-02,105920,49735,155655
Δεκ-02,108801,34190,142991
Ιαν-03,87788,29096,116884
Φεβ-03,94087,37602,131689
Μαρ-03,99607,47428,147035
Απρ-03,159395,70820,230215
Μαϊ-03,214270,71993,286263
Ιουν-03,246223,74774,320997
Ιουλ-03,301900,97031,398931
Αυγ-03,330654,90515,421169
Σεπ-03,257600,88817,346417
Οκτ-03,240540,86074,326614
Νοε-03,107554,57639,165193
Δεκ-03,112377,39536,151913
Ιαν-04,88216,27162,115378
Φεβ-04,94929,37289,132218
Μαρ-04,129967,58192,188159
Απρ-04,188920,73408,262328
Μαϊ-04,239067,87364,326431
Ιουν-04,235780,87599,323379
Ιουλ-04,308606,92323,400929
Αυγ-04,338584,92805,431389
Σεπ-04,272347,100440,372787
Οκτ-04,249549,93595,343144
Νοε-04,109059,52792,161851
Δεκ-04,114902,35093,149995
Ιαν-05,95128,29059,124187
Φεβ-05,93105,36168,129273
Μαρ-05,129967,61621,191588
Απρ-05,194961,69542,264503
Μαϊ-05,263645,94942,358587
Ιουν-05,266054,95238,361292
Ιουλ-05,336154,108621,444775
Αυγ-05,368580,110873,479453
Σεπ-05,273396,99827,373223
Οκτ-05,258257,98949,357206
Νοε-05,106677,51876,158553
Δεκ-05,112047,35080,147127
Ιαν-06,94917,29487,124404
Φεβ-06,87970,36386,124356
Μαρ-06,117996,58537,176533
Απρ-06,208470,85092,293562
Μαϊ-06,251317,103844,355161
Ιουν-06,264738,96121,360859
Ιουλ-06,328047,112261,440308
Αυγ-06,322853,113206,436059
Σεπ-06,273647,103729,377376
Οκτ-06,253577,97352,350929
Νοε-06,111809,44591,156400
Δεκ-06,121548,34531,156079
Ιαν-07,99616,26209,125825
Φεβ-07,103805,31581,135386
Μαρ-07,146880,50238,197118
Απρ-07,199250,74811,274061
Μαϊ-07,249601,97115,346716
Ιουν-07,273078,92729,365807
Ιουλ-07,359425,108758,468183
Αυγ-07,374323,108303,482626
Σεπ-07,310146,106486,416632
Οκτ-07,267352,98236,365588
Νοε-07,120225,43503,163728
Δεκ-07,136684,34326,171010
Ιαν-08,104251,25967,130218
Φεβ-08,116766,32284,149050
Μαρ-08,147497,54948,202445
Απρ-08,203607,74826,278433
Μαϊ-08,272955,93546,366501
Ιουν-08,308917,99772,408689
Ιουλ-08,358533,116564,475097
Αυγ-08,388380,119285,507665
Σεπ-08,312796,100397,413193
Οκτ-08,268034,93452,361486
Νοε-08,129822,44458,174280
Δεκ-08,134363,33549,167912
Ιαν-09,102169,24574,126743
Φεβ-09,102377,26954,129331
Μαρ-09,135557,43347,178904
Απρ-09,224463,66402,290865
Μαϊ-09,250355,87102,337457
Ιουν-09,276768,85893,362661
Ιουλ-09,338008,101353,439361
Αυγ-09,354382,100007,454389
Σεπ-09,290982,96411,387393
Οκτ-09,249461,83678,333139
Νοε-09,126211,39977,166188
Δεκ-09,129434,32236,161670
Ιαν-10,107353,24162,131515
Φεβ-10,105701,27750,133451
Μαρ-10,159075,50201,209276
Απρ-10,182291,52505,234796
Μαϊ-10,267145,89830,356975
Ιουν-10,291677,90492,382169
Ιουλ-10,353474,98254,451728
Αυγ-10,379455,104040,483495
Σεπ-10,308187,100748,408935
Οκτ-10,265446,91468,356914
Νοε-10,134002,35750,169752
Δεκ-10,128300,24773,153073
Ιαν-11,110187,22870,133057
Φεβ-11,107034,28293,135327
Μαρ-11,141584,41872,183456
Απρ-11,236616,72796,309412
Μαϊ-11,267265,95027,362292
Ιουν-11,304860,103654,408514
Ιουλ-11,373214,119837,493051
Αυγ-11,383049,120310,503359
Σεπ-11,310123,107000,417123
Οκτ-11,266999,93895,360894
Νοε-11,120398,43211,163609
Δεκ-11,118676,29898,148574
Ιαν-12,101790,23070,124860
Φεβ-12,102163,29724,131887
Μαρ-12,133697,43914,177611
