MONTH,ARRIVALS('000)
Ιαν-90,46.398
Φεβ-90,62.295
Μαρ-90,112.452
Απρ-90,168.848
Μαϊ-90,168.553
Ιουν-90,157.250
Ιουλ-90,204.337
Αυγ-90,197.925
Σεπ-90,174.949
Οκτ-90,147.128
Νοε-90,59.523
Δεκ-90,61.821
Ιαν-91,27.528
Φεβ-91,16.748
Μαρ-91,44.815
Απρ-91,81.168
Μαϊ-91,124.753
Ιουν-91,145.217
Ιουλ-91,192.000
Αυγ-91,204.000
Σεπ-91,190.100
Οκτ-91,172.300
Νοε-91,90.300
Δεκ-91,96.200
Ιαν-92,52.700
Φεβ-92,62.300
Μαρ-92,107.000
Απρ-92,187.100
Μαϊ-92,230.300
Ιουν-92,217.000
Ιουλ-92,253.100
Αυγ-92,249.800
Σεπ-92,244.000
Οκτ-92,200.700
Νοε-92,111.500
Δεκ-92,75.500
Ιαν-93,67.200
Φεβ-93,69.400
Μαρ-93,119.600
Απρ-93,172.500
Μαϊ-93,186.500
Ιουν-93,172.200
Ιουλ-93,224.500
Αυγ-93,244.800
Σεπ-93,222.500
Οκτ-93,205.300
Νοε-93,91.500
Δεκ-93,65.000
Ιαν-94,55.000
Φεβ-94,62.000
Μαρ-94,118.000
Απρ-94,160.000
Μαϊ-94,236.000
Ιουν-94,223.000
Ιουλ-94,277.000
Αυγ-94,285.000
Σεπ-94,247.000
Οκτ-94,231.000
Νοε-94,106.000
Δεκ-94,69.000
Ιαν-95,53.000
Φεβ-95,64.000
Μαρ-95,112.000
Απρ-95,200.000
Μαϊ-95,240.000
Ιουν-95,222.000
Ιουλ-95,278.000
Αυγ-95,263.000
Σεπ-95,254.000
Οκτ-95,231.000
Νοε-95,108.000
Δεκ-95,75.000
Ιαν-96,69.900
Φεβ-96,82.400
Μαρ-96,133.700
Απρ-96,180.700
Μαϊ-96,202.800
Ιουν-96,195.000
Ιουλ-96,244.400
Αυγ-96,252.000
Σεπ-96,220.900
Οκτ-96,194.500
Νοε-96,92.500
Δεκ-96,81.200
Ιαν-97,67.731
Φεβ-97,67.848
Μαρ-97,134.000
Απρ-97,161.356
